Year,DOY,hour,minute,Global Horizontal [W/m^2]
2017,319,04,12,0
2017,319,04,13,0
2017,319,04,14,0
2017,319,04,15,0
2017,319,04,16,0
2017,319,04,17,0
2017,319,04,18,0
2017,319,04,19,0
2017,319,04,20,0
2017,319,04,21,0
2017,319,04,22,0
2017,319,04,23,0
2017,319,04,24,0
2017,319,04,25,0
2017,319,04,26,0
2017,319,04,27,0
2017,319,04,28,0
2017,319,04,29,0
2017,319,04,30,0
2017,319,04,31,0
2017,319,04,32,0
2017,319,04,33,0
2017,319,04,34,0
2017,319,04,35,0
2017,319,04,36,0
2017,319,04,37,0
2017,319,04,38,0
2017,319,04,39,0
2017,319,04,40,0
2017,319,04,41,0
2017,319,04,42,0
2017,319,04,43,0
2017,319,04,44,0
2017,319,04,45,0
2017,319,04,46,0
2017,319,04,47,0
2017,319,04,48,0
2017,319,04,49,0
2017,319,04,50,0
2017,319,04,51,0
2017,319,04,52,0
2017,319,04,53,0
2017,319,04,54,0
2017,319,04,55,0
2017,319,04,56,0
2017,319,04,57,0
2017,319,04,58,0
2017,319,04,59,0
2017,319,04,00,0
2017,319,05,01,0
2017,319,05,02,0
2017,319,05,03,0
2017,319,05,04,0
2017,319,05,05,0
2017,319,05,06,0
2017,319,05,07,0
2017,319,05,08,0
2017,319,05,09,0
2017,319,05,10,0
2017,319,05,11,0
2017,319,05,12,0
2017,319,05,13,0
2017,319,05,14,0
2017,319,05,15,0
2017,319,05,16,0
2017,319,05,17,0
2017,319,05,18,0
2017,319,05,19,0
2017,319,05,20,0
2017,319,05,21,0
2017,319,05,22,0
2017,319,05,23,0
2017,319,05,24,0
2017,319,05,25,0
2017,319,05,26,0
2017,319,05,27,0
2017,319,05,28,0
2017,319,05,29,0
2017,319,05,30,0
2017,319,05,31,0
2017,319,05,32,0
2017,319,05,33,0
2017,319,05,34,0
2017,319,05,35,0
2017,319,05,36,0
2017,319,05,37,0
2017,319,05,38,0
2017,319,05,39,0
2017,319,05,40,0
2017,319,05,41,0
2017,319,05,42,0
2017,319,05,43,0
2017,319,05,44,0
2017,319,05,45,0
2017,319,05,46,0
2017,319,05,47,0
2017,319,05,48,0
2017,319,05,49,0
2017,319,05,50,0
2017,319,05,51,0
2017,319,05,52,0
2017,319,05,53,0
2017,319,05,54,0
2017,319,05,55,0
2017,319,05,56,0
2017,319,05,57,0
2017,319,05,58,0
2017,319,05,59,0
2017,319,05,00,0
2017,319,06,01,0
2017,319,06,02,0
2017,319,06,03,0
2017,319,06,04,0.00635
2017,319,06,05,0
2017,319,06,06,0
2017,319,06,07,0
2017,319,06,08,0
2017,319,06,09,0
2017,319,06,10,0
2017,319,06,11,0
2017,319,06,12,0
2017,319,06,13,0
2017,319,06,14,0
2017,319,06,15,0
2017,319,06,16,0
2017,319,06,17,0
2017,319,06,18,0
2017,319,06,19,0
2017,319,06,20,0
2017,319,06,21,0
2017,319,06,22,0
2017,319,06,23,0
2017,319,06,24,0
2017,319,06,25,0
2017,319,06,26,0
2017,319,06,27,0
2017,319,06,28,0
2017,319,06,29,0
2017,319,06,30,0
2017,319,06,31,0
2017,319,06,32,0
2017,319,06,33,0
2017,319,06,34,0
2017,319,06,35,0
2017,319,06,36,0
2017,319,06,37,0
2017,319,06,38,0
2017,319,06,39,0
2017,319,06,40,0
2017,319,06,41,0
2017,319,06,42,0
2017,319,06,43,0
2017,319,06,44,0
2017,319,06,45,0
2017,319,06,46,0
2017,319,06,47,0
2017,319,06,48,0
2017,319,06,49,0
2017,319,06,50,0
2017,319,06,51,0
2017,319,06,52,0.00635
2017,319,06,53,0
2017,319,06,54,0.01905
2017,319,06,55,0.363798
2017,319,06,56,0.472056
2017,319,06,57,0.765696
2017,319,06,58,0.835817
2017,319,06,59,1.53117
2017,319,06,00,1.9902
2017,319,07,01,2.39166
2017,319,07,02,3.06147
2017,319,07,03,3.50761
2017,319,07,04,3.89001
2017,319,07,05,4.59089
2017,319,07,06,4.59089
2017,319,07,07,4.69204
2017,319,07,08,5.35528
2017,319,07,09,5.35525
2017,319,07,10,5.31154
2017,319,07,11,4.8906
2017,319,07,12,4.52086
2017,319,07,13,3.82624
2017,319,07,14,3.82624
2017,319,07,15,3.54645
2017,319,07,16,0.486753
2017,319,07,17,0.675724
2017,319,07,18,0.815519
2017,319,07,19,1.0885
2017,319,07,20,1.40811
2017,319,07,21,1.84556
2017,319,07,22,2.39054
2017,319,07,23,2.98207
2017,319,07,24,3.70287
2017,319,07,25,4.50653
2017,319,07,26,5.34485
2017,319,07,27,7.36262
2017,319,07,28,8.49045
2017,319,07,29,9.33262
2017,319,07,30,11.2016
2017,319,07,31,13.2729
2017,319,07,32,14.2591
2017,319,07,33,15.4645
2017,319,07,34,15.708
2017,319,07,35,15.4869
2017,319,07,36,16.0431
2017,319,07,37,17.6003
2017,319,07,38,19.1997
2017,319,07,39,19.7821
2017,319,07,40,20.7523
2017,319,07,41,20.805
2017,319,07,42,21.3123
2017,319,07,43,22.0424
2017,319,07,44,23.1197
2017,319,07,45,22.4931
2017,319,07,46,22.8823
2017,319,07,47,23.504
2017,319,07,48,23.2699
2017,319,07,49,23.3322
2017,319,07,50,23.8742
2017,319,07,51,24.2307
2017,319,07,52,25.0078
2017,319,07,53,26.0836
2017,319,07,54,26.3702
2017,319,07,55,28.2258
2017,319,07,56,28.8568
2017,319,07,57,28.1295
2017,319,07,58,28.9552
2017,319,07,59,29.965
2017,319,07,00,30.218
2017,319,08,01,30.1936
2017,319,08,02,29.9525
2017,319,08,03,30.8284
2017,319,08,04,33.2136
2017,319,08,05,37.2132
2017,319,08,06,38.1153
2017,319,08,07,38.2324
2017,319,08,08,38.4274
2017,319,08,09,36.6249
2017,319,08,10,35.901
2017,319,08,11,37.1266
2017,319,08,12,39.3939
2017,319,08,13,43.2843
2017,319,08,14,44.871
2017,319,08,15,44.6618
2017,319,08,16,47.2369
2017,319,08,17,51.8526
2017,319,08,18,57.4686
2017,319,08,19,60.7649
2017,319,08,20,63.8333
2017,319,08,21,66.4944
2017,319,08,22,66.8714
2017,319,08,23,67.6554
2017,319,08,24,69.5524
2017,319,08,25,70.5071
2017,319,08,26,72.2806
2017,319,08,27,69.7517
2017,319,08,28,72.5169
2017,319,08,29,79.052
2017,319,08,30,79.808
2017,319,08,31,80.6176
2017,319,08,32,77.4081
2017,319,08,33,71.3533
2017,319,08,34,76.8105
2017,319,08,35,78.1856
2017,319,08,36,80.3836
2017,319,08,37,83.0504
2017,319,08,38,90.5576
2017,319,08,39,91.5598
2017,319,08,40,85.9322
2017,319,08,41,82.1893
2017,319,08,42,82.3962
2017,319,08,43,76.9873
2017,319,08,44,70.929
2017,319,08,45,71.4942
2017,319,08,46,70.8873
2017,319,08,47,71.1039
2017,319,08,48,68.3732
2017,319,08,49,68.4767
2017,319,08,50,74.2352
2017,319,08,51,73.0376
2017,319,08,52,72.0168
2017,319,08,53,72.5289
2017,319,08,54,70.6863
2017,319,08,55,66.549
2017,319,08,56,67.8342
2017,319,08,57,75.3546
2017,319,08,58,74.7481
2017,319,08,59,78.6713
2017,319,08,00,85.0608
2017,319,09,01,80.6336
2017,319,09,02,77.5056
2017,319,09,03,81.3726
2017,319,09,04,92.051
2017,319,09,05,98.3779
2017,319,09,06,106.398
2017,319,09,07,118.11
2017,319,09,08,126.825
2017,319,09,09,129.194
2017,319,09,10,132.384
2017,319,09,11,145.131
2017,319,09,12,143.05
2017,319,09,13,143.309
2017,319,09,14,149.133
2017,319,09,15,161.821
2017,319,09,16,163.78
2017,319,09,17,160.401
2017,319,09,18,164.459
2017,319,09,19,167.816
2017,319,09,20,183
2017,319,09,21,200.752
2017,319,09,22,166.759
2017,319,09,23,129.538
2017,319,09,24,158.091
2017,319,09,25,143.382
2017,319,09,26,152.233
2017,319,09,27,164.477
2017,319,09,28,144.591
2017,319,09,29,145.384
2017,319,09,30,126.666
2017,319,09,31,135.234
2017,319,09,32,137.905
2017,319,09,33,133.798
2017,319,09,34,130.74
2017,319,09,35,125.933
2017,319,09,36,121.649
2017,319,09,37,111.649
2017,319,09,38,109.531
2017,319,09,39,107.528
2017,319,09,40,103.076
2017,319,09,41,101.306
2017,319,09,42,143.316
2017,319,09,43,143.407
2017,319,09,44,116.696
2017,319,09,45,99.4286
2017,319,09,46,94.4603
2017,319,09,47,90.5451
2017,319,09,48,98.0549
2017,319,09,49,89.0157
2017,319,09,50,88.952
2017,319,09,51,122.194
2017,319,09,52,133.648
2017,319,09,53,143.177
2017,319,09,54,180.967
2017,319,09,55,228.249
2017,319,09,56,234.535
2017,319,09,57,201.081
2017,319,09,58,172.983
2017,319,09,59,162.155
2017,319,09,00,180.254
2017,319,10,01,153.9
2017,319,10,02,161.834
2017,319,10,03,184.584
2017,319,10,04,169.357
2017,319,10,05,189.14
2017,319,10,06,209.369
2017,319,10,07,179.792
2017,319,10,08,148.545
2017,319,10,09,159.557
2017,319,10,10,185.304
2017,319,10,11,155.468
2017,319,10,12,145.643
2017,319,10,13,155.496
2017,319,10,14,137.959
2017,319,10,15,133.597
2017,319,10,16,160.505
2017,319,10,17,183.86
2017,319,10,18,206.866
2017,319,10,19,188.993
2017,319,10,20,201.432
2017,319,10,21,216.948
2017,319,10,22,262.791
2017,319,10,23,226.389
2017,319,10,24,185.518
2017,319,10,25,254.878
2017,319,10,26,210.731
2017,319,10,27,192.533
2017,319,10,28,181.17
2017,319,10,29,181.551
2017,319,10,30,189.867
2017,319,10,31,216.237
2017,319,10,32,275.792
2017,319,10,33,276.785
2017,319,10,34,297.865
2017,319,10,35,381.553
2017,319,10,36,369.049
2017,319,10,37,294.094
2017,319,10,38,302.449
2017,319,10,39,298.489
2017,319,10,40,249.45
2017,319,10,41,225.432
2017,319,10,42,218.999
2017,319,10,43,236.214
2017,319,10,44,237.117
2017,319,10,45,218.651
2017,319,10,46,242.443
2017,319,10,47,316.423
2017,319,10,48,287.344
2017,319,10,49,253.573
2017,319,10,50,234.546
2017,319,10,51,243.483
2017,319,10,52,230.922
2017,319,10,53,224.659
2017,319,10,54,223.482
2017,319,10,55,279.176
2017,319,10,56,251.226
2017,319,10,57,228.162
2017,319,10,58,334.926
2017,319,10,59,516.946
2017,319,10,00,341.824
2017,319,11,01,274.762
2017,319,11,02,367.929
2017,319,11,03,383.065
2017,319,11,04,282.134
2017,319,11,05,300.474
2017,319,11,06,301.612
2017,319,11,07,366.106
2017,319,11,08,354.424
2017,319,11,09,476.639
2017,319,11,10,392.587
2017,319,11,11,340.194
2017,319,11,12,290.45
2017,319,11,13,403.721
2017,319,11,14,294.108
2017,319,11,15,356.627
2017,319,11,16,318.923
2017,319,11,17,286.553
2017,319,11,18,268.078
2017,319,11,19,207.443
2017,319,11,20,233.422
2017,319,11,21,237.625
2017,319,11,22,222.754
2017,319,11,23,254.595
2017,319,11,24,219.381
2017,319,11,25,237.422
2017,319,11,26,367.641
2017,319,11,27,321.504
2017,319,11,28,351.03
2017,319,11,29,384.66
2017,319,11,30,319.406
2017,319,11,31,359.27
2017,319,11,32,347.047
2017,319,11,33,304.598
2017,319,11,34,347.165
2017,319,11,35,347.56
2017,319,11,36,375.829
2017,319,11,37,348.424
2017,319,11,38,367.795
2017,319,11,39,416.621
2017,319,11,40,462.853
2017,319,11,41,507.099
2017,319,11,42,493.199
2017,319,11,43,461.068
2017,319,11,44,410.911
2017,319,11,45,347.735
2017,319,11,46,329.428
2017,319,11,47,320.559
2017,319,11,48,319.114
2017,319,11,49,310.165
2017,319,11,50,276.452
2017,319,11,51,266.689
2017,319,11,52,295.338
2017,319,11,53,314.99
2017,319,11,54,370.589
2017,319,11,55,401.2
2017,319,11,56,405.092
2017,319,11,57,421.24
2017,319,11,58,410.944
2017,319,11,59,426.942
2017,319,11,00,407.036
2017,319,12,01,367.022
2017,319,12,02,364.636
2017,319,12,03,391.835
2017,319,12,04,419.397
2017,319,12,05,392.664
2017,319,12,06,344.134
2017,319,12,07,340.491
2017,319,12,08,364.272
2017,319,12,09,373.792
2017,319,12,10,378.598
2017,319,12,11,437.612
2017,319,12,12,484.592
2017,319,12,13,479.453
2017,319,12,14,380.366
2017,319,12,15,346.813
2017,319,12,16,417.023
2017,319,12,17,506.195
2017,319,12,18,549.074
2017,319,12,19,530.454
2017,319,12,20,531.179
2017,319,12,21,527.688
2017,319,12,22,522.909
2017,319,12,23,521.193
2017,319,12,24,496.546
2017,319,12,25,516.985
2017,319,12,26,526.817
2017,319,12,27,509.683
2017,319,12,28,522.395
2017,319,12,29,564.784
2017,319,12,30,572.169
2017,319,12,31,565.332
2017,319,12,32,558.865
2017,319,12,33,549.243
2017,319,12,34,546.748
2017,319,12,35,544.568
2017,319,12,36,507.732
2017,319,12,37,528.953
2017,319,12,38,513.663
2017,319,12,39,499.98
2017,319,12,40,528.531
2017,319,12,41,521.808
2017,319,12,42,525.09
2017,319,12,43,524.581
2017,319,12,44,490.765
2017,319,12,45,504.746
2017,319,12,46,462.299
2017,319,12,47,450.961
2017,319,12,48,464.705
2017,319,12,49,484.626
2017,319,12,50,396.768
2017,319,12,51,324.055
2017,319,12,52,331.099
2017,319,12,53,297.139
2017,319,12,54,357.669
2017,319,12,55,420.476
2017,319,12,56,417.614
2017,319,12,57,456.949
2017,319,12,58,435.869
2017,319,12,59,412.346
2017,319,12,00,401.675
2017,319,13,01,394.193
2017,319,13,02,355.068
2017,319,13,03,366.184
2017,319,13,04,383.795
2017,319,13,05,406.685
2017,319,13,06,340.902
2017,319,13,07,272.945
2017,319,13,08,282.039
2017,319,13,09,266.511
2017,319,13,10,301.941
2017,319,13,11,372.423
2017,319,13,12,328.758
2017,319,13,13,313.428
2017,319,13,14,320.744
2017,319,13,15,270.136
2017,319,13,16,233.448
2017,319,13,17,222.562
2017,319,13,18,216.892
2017,319,13,19,252.04
2017,319,13,20,391.841
2017,319,13,21,301.318
2017,319,13,22,284.84
2017,319,13,23,393.07
2017,319,13,24,508.784
2017,319,13,25,413.691
