Year,DOY,hour,minute,Global Horizontal [W/m^2]
2017,319,4,11,0
2017,319,4,12,0
2017,319,4,13,0
2017,319,4,14,0
2017,319,4,15,0
2017,319,4,16,0
2017,319,4,17,0
2017,319,4,18,0
2017,319,4,19,0
2017,319,4,20,0
2017,319,4,21,0
2017,319,4,22,0
2017,319,4,23,0
2017,319,4,24,0
2017,319,4,25,0
2017,319,4,26,0
2017,319,4,27,0
2017,319,4,28,0
2017,319,4,29,0
2017,319,4,30,0
2017,319,4,31,0
2017,319,4,32,0
2017,319,4,33,0
2017,319,4,34,0
2017,319,4,35,0
2017,319,4,36,0
2017,319,4,37,0
2017,319,4,38,0
2017,319,4,39,0
2017,319,4,40,0
2017,319,4,41,0
2017,319,4,42,0
2017,319,4,43,0
2017,319,4,44,0
2017,319,4,45,0
2017,319,4,46,0
2017,319,4,47,0
2017,319,4,48,0
2017,319,4,49,0
2017,319,4,50,0
2017,319,4,51,0
2017,319,4,52,0
2017,319,4,53,0
2017,319,4,54,0
2017,319,4,55,0
2017,319,4,56,0
2017,319,4,57,0
2017,319,4,58,0
2017,319,4,59,0
2017,319,5,0,0
2017,319,5,1,0
2017,319,5,2,0
2017,319,5,3,0
2017,319,5,4,0
2017,319,5,5,0
2017,319,5,6,0
2017,319,5,7,0
2017,319,5,8,0
2017,319,5,9,0
2017,319,5,10,0
2017,319,5,11,0
2017,319,5,12,0
2017,319,5,13,0
2017,319,5,14,0
2017,319,5,15,0
2017,319,5,16,0
2017,319,5,17,0
2017,319,5,18,0
2017,319,5,19,0
2017,319,5,20,0
2017,319,5,21,0
2017,319,5,22,0
2017,319,5,23,0
2017,319,5,24,0
2017,319,5,25,0
2017,319,5,26,0
2017,319,5,27,0
2017,319,5,28,0
2017,319,5,29,0
2017,319,5,30,0
2017,319,5,31,0
2017,319,5,32,0
2017,319,5,33,0
2017,319,5,34,0
2017,319,5,35,0
2017,319,5,36,0
2017,319,5,37,0
2017,319,5,38,0
2017,319,5,39,0
2017,319,5,40,0
2017,319,5,41,0
2017,319,5,42,0
2017,319,5,43,0
2017,319,5,44,0
2017,319,5,45,0
2017,319,5,46,0
2017,319,5,47,0
2017,319,5,48,0
2017,319,5,49,0
2017,319,5,50,0
2017,319,5,51,0
2017,319,5,52,0
2017,319,5,53,0
2017,319,5,54,0
2017,319,5,55,0
2017,319,5,56,0
2017,319,5,57,0
2017,319,5,58,0
2017,319,5,59,0
2017,319,6,0,0
2017,319,6,1,0
2017,319,6,2,0
2017,319,6,3,0.00635
2017,319,6,4,0
2017,319,6,5,0
2017,319,6,6,0
2017,319,6,7,0
2017,319,6,8,0
2017,319,6,9,0
2017,319,6,10,0
2017,319,6,11,0
2017,319,6,12,0
2017,319,6,13,0
2017,319,6,14,0
2017,319,6,15,0
2017,319,6,16,0
2017,319,6,17,0
2017,319,6,18,0
2017,319,6,19,0
2017,319,6,20,0
2017,319,6,21,0
2017,319,6,22,0
2017,319,6,23,0
2017,319,6,24,0
2017,319,6,25,0
2017,319,6,26,0
2017,319,6,27,0
2017,319,6,28,0
2017,319,6,29,0
2017,319,6,30,0
2017,319,6,31,0
2017,319,6,32,0
2017,319,6,33,0
2017,319,6,34,0
2017,319,6,35,0
2017,319,6,36,0
2017,319,6,37,0
2017,319,6,38,0
2017,319,6,39,0
2017,319,6,40,0
2017,319,6,41,0
2017,319,6,42,0
2017,319,6,43,0
2017,319,6,44,0
2017,319,6,45,0
2017,319,6,46,0
2017,319,6,47,0
2017,319,6,48,0
2017,319,6,49,0
2017,319,6,50,0
2017,319,6,51,0.00635
2017,319,6,52,0
2017,319,6,53,0.01905
2017,319,6,54,0.363798
2017,319,6,55,0.472056
2017,319,6,56,0.765696
2017,319,6,57,0.835817
2017,319,6,58,1.53117
2017,319,6,59,1.9902
2017,319,7,0,2.39166
2017,319,7,1,3.06147
2017,319,7,2,3.50761
2017,319,7,3,3.89001
2017,319,7,4,4.59089
2017,319,7,5,4.59089
2017,319,7,6,4.69204
2017,319,7,7,5.35528
2017,319,7,8,5.35525
2017,319,7,9,5.31154
2017,319,7,10,4.8906
2017,319,7,11,4.52086
2017,319,7,12,3.82624
2017,319,7,13,3.82624
2017,319,7,14,3.54645
2017,319,7,15,0.486753
2017,319,7,16,0.675724
2017,319,7,17,0.815519
2017,319,7,18,1.0885
2017,319,7,19,1.40811
2017,319,7,20,1.84556
2017,319,7,21,2.39054
2017,319,7,22,2.98207
2017,319,7,23,3.70287
2017,319,7,24,4.50653
2017,319,7,25,5.34485
2017,319,7,26,7.36262
2017,319,7,27,8.49045
2017,319,7,28,9.33262
2017,319,7,29,11.2016
2017,319,7,30,13.2729
2017,319,7,31,14.2591
2017,319,7,32,15.4645
2017,319,7,33,15.708
2017,319,7,34,15.4869
2017,319,7,35,16.0431
2017,319,7,36,17.6003
2017,319,7,37,19.1997
2017,319,7,38,19.7821
2017,319,7,39,20.7523
2017,319,7,40,20.805
2017,319,7,41,21.3123
2017,319,7,42,22.0424
2017,319,7,43,23.1197
2017,319,7,44,22.4931
2017,319,7,45,22.8823
2017,319,7,46,23.504
2017,319,7,47,23.2699
2017,319,7,48,23.3322
2017,319,7,49,23.8742
2017,319,7,50,24.2307
2017,319,7,51,25.0078
2017,319,7,52,26.0836
2017,319,7,53,26.3702
2017,319,7,54,28.2258
2017,319,7,55,28.8568
2017,319,7,56,28.1295
2017,319,7,57,28.9552
2017,319,7,58,29.965
2017,319,7,59,30.218
2017,319,8,0,30.1936
2017,319,8,1,29.9525
2017,319,8,2,30.8284
2017,319,8,3,33.2136
2017,319,8,4,37.2132
2017,319,8,5,38.1153
2017,319,8,6,38.2324
2017,319,8,7,38.4274
2017,319,8,8,36.6249
2017,319,8,9,35.901
2017,319,8,10,37.1266
2017,319,8,11,39.3939
2017,319,8,12,43.2843
2017,319,8,13,44.871
2017,319,8,14,44.6618
2017,319,8,15,47.2369
2017,319,8,16,51.8526
2017,319,8,17,57.4686
2017,319,8,18,60.7649
2017,319,8,19,63.8333
2017,319,8,20,66.4944
2017,319,8,21,66.8714
2017,319,8,22,67.6554
2017,319,8,23,69.5524
2017,319,8,24,70.5071
2017,319,8,25,72.2806
2017,319,8,26,69.7517
2017,319,8,27,72.5169
2017,319,8,28,79.052
2017,319,8,29,79.808
2017,319,8,30,80.6176
2017,319,8,31,77.4081
2017,319,8,32,71.3533
2017,319,8,33,76.8105
2017,319,8,34,78.1856
2017,319,8,35,80.3836
2017,319,8,36,83.0504
2017,319,8,37,90.5576
2017,319,8,38,91.5598
2017,319,8,39,85.9322
2017,319,8,40,82.1893
2017,319,8,41,82.3962
2017,319,8,42,76.9873
2017,319,8,43,70.929
2017,319,8,44,71.4942
2017,319,8,45,70.8873
2017,319,8,46,71.1039
2017,319,8,47,68.3732
2017,319,8,48,68.4767
2017,319,8,49,74.2352
2017,319,8,50,73.0376
2017,319,8,51,72.0168
2017,319,8,52,72.5289
2017,319,8,53,70.6863
2017,319,8,54,66.549
2017,319,8,55,67.8342
2017,319,8,56,75.3546
2017,319,8,57,74.7481
2017,319,8,58,78.6713
2017,319,8,59,85.0608
2017,319,9,0,80.6336
2017,319,9,1,77.5056
2017,319,9,2,81.3726
2017,319,9,3,92.051
2017,319,9,4,98.3779
2017,319,9,5,106.398
2017,319,9,6,118.11
2017,319,9,7,126.825
2017,319,9,8,129.194
2017,319,9,9,132.384
2017,319,9,10,145.131
2017,319,9,11,143.05
2017,319,9,12,143.309
2017,319,9,13,149.133
2017,319,9,14,161.821
2017,319,9,15,163.78
2017,319,9,16,160.401
2017,319,9,17,164.459
2017,319,9,18,167.816
2017,319,9,19,183
2017,319,9,20,200.752
2017,319,9,21,166.759
2017,319,9,22,129.538
2017,319,9,23,158.091
2017,319,9,24,143.382
2017,319,9,25,152.233
2017,319,9,26,164.477
2017,319,9,27,144.591
2017,319,9,28,145.384
2017,319,9,29,126.666
2017,319,9,30,135.234
2017,319,9,31,137.905
2017,319,9,32,133.798
2017,319,9,33,130.74
2017,319,9,34,125.933
2017,319,9,35,121.649
2017,319,9,36,111.649
2017,319,9,37,109.531
2017,319,9,38,107.528
2017,319,9,39,103.076
2017,319,9,40,101.306
2017,319,9,41,143.316
2017,319,9,42,143.407
2017,319,9,43,116.696
2017,319,9,44,99.4286
2017,319,9,45,94.4603
2017,319,9,46,90.5451
2017,319,9,47,98.0549
2017,319,9,48,89.0157
2017,319,9,49,88.952
2017,319,9,50,122.194
2017,319,9,51,133.648
2017,319,9,52,143.177
2017,319,9,53,180.967
2017,319,9,54,228.249
2017,319,9,55,234.535
2017,319,9,56,201.081
2017,319,9,57,172.983
2017,319,9,58,162.155
2017,319,9,59,180.254
2017,319,10,0,153.9
2017,319,10,1,161.834
2017,319,10,2,184.584
2017,319,10,3,169.357
2017,319,10,4,189.14
2017,319,10,5,209.369
2017,319,10,6,179.792
2017,319,10,7,148.545
2017,319,10,8,159.557
2017,319,10,9,185.304
2017,319,10,10,155.468
2017,319,10,11,145.643
2017,319,10,12,155.496
2017,319,10,13,137.959
2017,319,10,14,133.597
2017,319,10,15,160.505
2017,319,10,16,183.86
2017,319,10,17,206.866
2017,319,10,18,188.993
2017,319,10,19,201.432
2017,319,10,20,216.948
2017,319,10,21,262.791
2017,319,10,22,226.389
2017,319,10,23,185.518
2017,319,10,24,254.878
2017,319,10,25,210.731
2017,319,10,26,192.533
2017,319,10,27,181.17
2017,319,10,28,181.551
2017,319,10,29,189.867
2017,319,10,30,216.237
2017,319,10,31,275.792
2017,319,10,32,276.785
2017,319,10,33,297.865
2017,319,10,34,381.553
2017,319,10,35,369.049
2017,319,10,36,294.094
2017,319,10,37,302.449
2017,319,10,38,298.489
2017,319,10,39,249.45
2017,319,10,40,225.432
2017,319,10,41,218.999
2017,319,10,42,236.214
2017,319,10,43,237.117
2017,319,10,44,218.651
2017,319,10,45,242.443
2017,319,10,46,316.423
2017,319,10,47,287.344
2017,319,10,48,253.573
2017,319,10,49,234.546
2017,319,10,50,243.483
2017,319,10,51,230.922
2017,319,10,52,224.659
2017,319,10,53,223.482
2017,319,10,54,279.176
2017,319,10,55,251.226
2017,319,10,56,228.162
2017,319,10,57,334.926
2017,319,10,58,516.946
2017,319,10,59,341.824
2017,319,11,0,274.762
2017,319,11,1,367.929
2017,319,11,2,383.065
2017,319,11,3,282.134
2017,319,11,4,300.474
2017,319,11,5,301.612
2017,319,11,6,366.106
2017,319,11,7,354.424
2017,319,11,8,476.639
2017,319,11,9,392.587
2017,319,11,10,340.194
2017,319,11,11,290.45
2017,319,11,12,403.721
2017,319,11,13,294.108
2017,319,11,14,356.627
2017,319,11,15,318.923
2017,319,11,16,286.553
2017,319,11,17,268.078
2017,319,11,18,207.443
2017,319,11,19,233.422
2017,319,11,20,237.625
2017,319,11,21,222.754
2017,319,11,22,254.595
2017,319,11,23,219.381
2017,319,11,24,237.422
2017,319,11,25,367.641
2017,319,11,26,321.504
2017,319,11,27,351.03
2017,319,11,28,384.66
2017,319,11,29,319.406
2017,319,11,30,359.27
2017,319,11,31,347.047
2017,319,11,32,304.598
2017,319,11,33,347.165
2017,319,11,34,347.56
2017,319,11,35,375.829
2017,319,11,36,348.424
2017,319,11,37,367.795
2017,319,11,38,416.621
2017,319,11,39,462.853
2017,319,11,40,507.099
2017,319,11,41,493.199
2017,319,11,42,461.068
2017,319,11,43,410.911
2017,319,11,44,347.735
2017,319,11,45,329.428
2017,319,11,46,320.559
2017,319,11,47,319.114
2017,319,11,48,310.165
2017,319,11,49,276.452
2017,319,11,50,266.689
2017,319,11,51,295.338
2017,319,11,52,314.99
2017,319,11,53,370.589
2017,319,11,54,401.2
2017,319,11,55,405.092
2017,319,11,56,421.24
2017,319,11,57,410.944
2017,319,11,58,426.942
2017,319,11,59,407.036
2017,319,12,0,367.022
2017,319,12,1,364.636
